# Id_P lon lat z year month day h m s ws
   1  65.42053  12.05327 -1.6 2017  1  1  0  0  0 0.000
   2  65.24022  11.26236 -3.5 2017  1  1  0  0  0 0.000
   3  64.09241  11.90060 -3.9 2017  1  1  1  0  0 0.000
   4  65.55264  12.80989 -1.5 2017  1  1  1  0  0 0.000
   5  64.78381  11.18495 -4.0 2017  1  1  2  0  0 0.000
   6  64.54438  11.77569 -4.4 2017  1  1  2  0  0 0.000
   7  65.49507  12.13352 -1.7 2017  1  1  3  0  0 0.000
   8  65.92525  12.03697 -1.6 2017  1  1  3  0  0 0.000
   9  65.04641  11.25809 -4.8 2017  1  1  4  0  0 0.000
  10  65.35910  12.32433 -3.5 2017  1  1  4  0  0 0.000
  11  64.87347  12.87281 -3.8 2017  1  1  5  0  0 0.000
  12  64.44377  12.74904 -2.3 2017  1  1  5  0  0 0.000
  13  64.91418  11.33095 -1.9 2017  1  1  6  0  0 0.000
  14  64.48360  11.42400 -1.2 2017  1  1  6  0  0 0.000
  15  65.21757  11.11997 -2.7 2017  1  1  7  0  0 0.000
  16  65.38612  12.89333 -3.3 2017  1  1  7  0  0 0.000
  17  64.19031  11.77396 -4.4 2017  1  1  8  0  0 0.000
  18  65.43560  12.07659 -2.9 2017  1  1  8  0  0 0.000
  19  65.36621  11.74911 -3.5 2017  1  1  9  0  0 0.000
  20  64.34565  12.51847 -2.7 2017  1  1  9  0  0 0.000
  21  65.44526  12.66464 -3.2 2017  1  1 10  0  0 0.000
  22  64.82472  12.31707 -3.2 2017  1  1 10  0  0 0.000
  23  64.19874  11.76832 -4.0 2017  1  1 11  0  0 0.000
  24  65.47395  11.51670 -2.9 2017  1  1 11  0  0 0.000
  25  65.64778  12.33365 -4.2 2017  1  1 12  0  0 0.000
  26  64.67885  11.87105 -2.3 2017  1  1 12  0  0 0.000
  27  65.56053  11.20943 -2.8 2017  1  1 13  0  0 0.000
  28  64.65638  12.32983 -3.4 2017  1  1 13  0  0 0.000
  29  64.78258  11.82846 -2.0 2017  1  1 14  0  0 0.000
  30  65.37928  12.55865 -2.7 2017  1  1 14  0  0 0.000
  31  64.70386  12.13386 -3.8 2017  1  1 15  0  0 0.000
  32  65.08413  12.23918 -2.4 2017  1  1 15  0  0 0.000
  33  64.20433  12.36823 -4.4 2017  1  1 16  0  0 0.000
  34  65.35037  11.57161 -3.2 2017  1  1 16  0  0 0.000
  35  65.59799  12.38560 -4.2 2017  1  1 17  0  0 0.000
  36  64.49593  12.51852 -4.9 2017  1  1 17  0  0 0.000
  37  64.49670  12.45733 -3.3 2017  1  1 18  0  0 0.000
  38  65.38912  12.14684 -3.6 2017  1  1 18  0  0 0.000
  39  65.12806  11.50112 -4.7 2017  1  1 19  0  0 0.000
  40  65.43142  12.59972 -3.2 2017  1  1 19  0  0 0.000
  41  65.36386  12.35553 -4.1 2017  1  1 20  0  0 0.000
  42  64.46144  12.66680 -4.9 2017  1  1 20  0  0 0.000
  43  65.10958  12.85996 -4.1 2017  1  1 21  0  0 0.000
  44  65.35666  12.51535 -1.6 2017  1  1 21  0  0 0.000
  45  64.81870  12.29600 -3.3 2017  1  1 22  0  0 0.000
  46  64.71523  11.04239 -4.7 2017  1  1 22  0  0 0.000
  47  65.27513  12.29414 -3.9 2017  1  1 23  0  0 0.000
  48  64.70041  11.99717 -4.2 2017  1  1 23  0  0 0.000
  49  64.92801  11.53772 -3.2 2017  1  2  0  0  0 0.000
  50  64.64691  12.63128 -3.3 2017  1  2  0  0  0 0.000
  51  64.19494  11.39367 -4.5 2017  1  2  1  0  0 0.000
